;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;Curve Configuration;;;;;;;;;;;;;;;;;;;;;;;;;
;;;EUR;;;Today;13/09/2012;Calendar;CDR=TE;;;;;;;;;;;;;;;;;;;;;;
;Contributor;;ICPL;;;T+2;17/09/2012;Bus Day Adj;BusDayAdj=-2;;;;;;;;;;;;;;;;;;;;;;
;Contribuor (for Swaps);;ICPL;;;Pricing Source;ICPL/ICPL;Fx Prefix;EU;;;;;;;;;;;;;;;;;;;;;;
10000;Update curve every ;;5;seconds;;Futures;ER;Calendar Code;TE;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Raw Curve Data;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;ASK;BID;MID;Adjustment;Num Periods;Period;Start Date;Settle Date;;;;;;;;;;;;;;;;;;;;;
Cash;1BD;EUDR1T ICPL Index;0,0700%;0,0000%;0,0350%;;1;wd;13/09/2012;14/09/2012;;;;;;;;;;;;;;;;;;;;;
;1SN;EUDR3T ICPL Index;;;;;1;wd;17/09/2012;18/09/2012;;;;;;;;;;;;;;;;;;;;;
;1W;EUR001W Index;0,0870%;0,0870%;0,0870%;;1;w;17/09/2012;24/09/2012;;;;;;;;;;;;;;;;;;;;;
;1M;EUR001M Index;0,1200%;0,1200%;0,1200%;;1;m;17/09/2012;17/10/2012;;;;;;;;;;;;;;;;;;;;;
;2M;EUR002M Index;0,1720%;0,1720%;0,1720%;;2;m;17/09/2012;19/11/2012;;;;;;;;;;;;;;;;;;;;;
;3M;EUR003M Index;0,2520%;0,2520%;0,2520%;;3;m;17/09/2012;17/12/2012;;;;;;;;;;;;;;;;;;;;;
;4M;EUR004M Index;0,3250%;0,3250%;0,3250%;;4;m;17/09/2012;17/01/2013;;;;;;;;;;;;;;;;;;;;;
;5M;EUR005M Index;0,4160%;0,4160%;0,4160%;;5;m;17/09/2012;18/02/2013;;;;;;;;;;;;;;;;;;;;;
;6M;EUR006M Index;0,4930%;0,4930%;0,4930%;;6;m;17/09/2012;18/03/2013;;;;;;;;;;;;;;;;;;;;;
FRA;1 x 7;EUFR0AG ICPL Index;0,4840%;0,4340%;0,4590%;;1;m;17/10/2012;17/04/2013;;;;;;;;;;;;;;;;;;;;;
